source_node,destination_node,same_socket,numa_distance,core_handoff_mean_ns,core_handoff_p95_ns,memory_load_mean_ns,memory_load_cv,stream_2t_triad_mbps,stream_32t_triad_mbps
0,0,1,10,35.74872246572581,37.99806000000001,78.294037,0.00045034473528287434,19464.7,34030.3
0,1,1,12,84.14770058951822,84.71696416666668,103.29659333333332,0.00047995307404565397,21192.5,35067.3
0,2,0,20,79.79668712272135,89.84768649999998,125.59548666666666,0.0008775299543976016,13418.7,32203.0
0,3,0,22,84.97705640657551,86.77781316666668,134.79918666666666,0.0007011782671574126,12833.5,31757.5
1,0,1,12,84.14770058951822,84.71696416666668,104.56367466666666,0.0001589186080271263,21361.8,34833.1
1,1,1,10,35.81096785215054,38.01720891666666,81.06748733333333,0.00042977539464532556,19192.7,34107.8
1,2,0,22,90.70743054589843,95.01727528333336,137.43138566666667,0.001408823436934788,12643.6,31880.9
1,3,0,24,90.42832467480468,91.74285605000001,146.74551833333334,0.004165344522826754,12085.8,31767.0
2,0,0,20,79.79668712272135,89.84768649999998,124.28264333333334,0.0007006881500135753,13611.2,31986.3
2,1,0,22,90.70743054589843,95.01727528333336,135.43875133333333,0.0007640075032967463,12765.8,31875.9
2,2,1,10,35.75117468615592,37.98200983333335,80.999334,0.00013466632294714472,19095.8,33901.9
2,3,1,12,41.347782873046874,43.79171009999999,101.74151,0.001042324587967,21331.4,34989.3
3,0,0,22,84.97705640657551,86.77781316666668,134.753829,0.0035765289719168207,12812.3,31605.9
3,1,0,24,90.42832467480468,91.74285605000001,146.02161333333333,0.0038064900507980624,12137.0,31740.7
3,2,1,12,41.347782873046874,43.79171009999999,105.66781566666667,0.001346225961488375,21055.4,35165.9
3,3,1,10,35.75362145766129,37.996139000000014,80.805527,0.00019811912271148116,19169.8,34042.4
